decision,final_reason,object_ids,scan_ids,categories,source_track_ids,appearance_score,appearance_status,simultaneously_visible,overlap_frames,overlapping_frame_iou_max,overlapping_frame_iou_avg,raw_trajectory_distance,stabilized_trajectory_distance,stabilized_coordinates_used,trajectory_distance,iou,size_ratio,aspect_ratio,class_vote_similarity,canonical_scan_id
merge,same physical object evidence accepted,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003,9978d2a2-6017-5348-b3e4-54318380a8f0 | 2f31120a-78f3-5941-bdb0-10e521d54923,cardboard | plastic,"[[""1""], [""10"", ""23""]]",,appearance unavailable,False,0,,,0.3191,0.1829,True,0.1829,0.1785,0.1783,0.3429,0.6213,2f31120a-78f3-5941-bdb0-10e521d54923
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,6d78f2ab-b633-5385-a9f3-1bed91099431 | bdc32c7f-2040-5063-85fc-f582b42bff6e,metal | cardboard,"[[""3"", ""5""], [""40""]]",0.6881,appearance compared successfully,False,0,,,0.5848,0.8458,True,0.8458,0.0,0.5389,0.3888,0.1634,
separate,simultaneous low-IoU boxes for 30 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004,2f31120a-78f3-5941-bdb0-10e521d54923 | 4d2f42ba-27c6-515e-a89e-5c51463b80a9,plastic | plastic,"[[""10"", ""23""], [""11""]]",0.6448,appearance compared successfully,True,30,0.0,0.0,0.8399,0.5477,True,0.5477,0.0,0.5132,0.7412,0.8596,
separate,simultaneous low-IoU boxes for 17 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,2f31120a-78f3-5941-bdb0-10e521d54923 | 16c70c74-caab-5a7f-af06-6b71a5a4855a,plastic | plastic,"[[""10"", ""23""], [""22""]]",0.6151,appearance compared successfully,True,17,0.0,0.0,0.2245,0.1745,True,0.1745,0.0,0.3727,0.6143,0.9348,
separate,simultaneous low-IoU boxes for 13 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,2f31120a-78f3-5941-bdb0-10e521d54923 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,plastic | cardboard,"[[""10"", ""23""], [""26"", ""42""]]",0.6348,appearance compared successfully,True,13,0.0,0.0,0.9674,0.9372,True,0.9372,0.0,0.7732,0.6103,0.709,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,2f31120a-78f3-5941-bdb0-10e521d54923 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,plastic | plastic,"[[""10"", ""23""], [""28"", ""33"", ""46""]]",0.6677,appearance compared successfully,True,4,0.0,0.0,0.7281,0.7421,True,0.7421,0.0,0.564,0.4077,0.9392,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,2f31120a-78f3-5941-bdb0-10e521d54923 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,plastic | plastic,"[[""10"", ""23""], [""35"", ""37""]]",0.5911,appearance compared successfully,False,0,,,0.9439,1.0503,True,1.0503,0.0,0.381,0.9524,0.9348,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,2f31120a-78f3-5941-bdb0-10e521d54923 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,"[[""10"", ""23""], [""38"", ""39""]]",0.6697,appearance compared successfully,False,0,,,0.478,0.7296,True,0.7296,0.0,0.6101,0.412,0.3552,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,2f31120a-78f3-5941-bdb0-10e521d54923 | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,"[[""10"", ""23""], [""40""]]",0.6661,appearance compared successfully,False,0,,,0.7032,0.9813,True,0.9813,0.0,0.6494,0.4554,0.8309,
separate,temporal overlap 10 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 0e73ec90-0d86-58d3-ae3b-15c0b901852a,plastic | cardboard,"[[""11""], [""12"", ""13""]]",0.5741,appearance compared successfully,True,10,0.0,0.0,0.4821,0.583,True,0.583,0.0,0.6326,0.8367,0.4307,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,plastic | cardboard,"[[""11""], [""26"", ""42""]]",0.5736,appearance compared successfully,False,0,,,0.3412,0.4445,True,0.4445,0.0,0.3968,0.8233,0.4397,
