decision,final_reason,object_ids,scan_ids,categories,source_track_ids,appearance_score,appearance_status,simultaneously_visible,overlap_frames,overlapping_frame_iou_max,overlapping_frame_iou_avg,raw_trajectory_distance,stabilized_trajectory_distance,stabilized_coordinates_used,trajectory_distance,iou,size_ratio,aspect_ratio,class_vote_similarity,canonical_scan_id
separate,simultaneous low-IoU boxes for 17 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,2f31120a-78f3-5941-bdb0-10e521d54923 | 16c70c74-caab-5a7f-af06-6b71a5a4855a,plastic | plastic,"[[""10"", ""23""], [""22""]]",0.6968,appearance compared successfully,True,17,0.0,0.0,0.2291,0.1567,True,0.1567,0.0,0.3727,0.6143,0.9348,
separate,simultaneous low-IoU boxes for 13 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,2f31120a-78f3-5941-bdb0-10e521d54923 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,plastic | cardboard,"[[""10"", ""23""], [""26"", ""42""]]",0.6652,appearance compared successfully,True,13,0.0,0.0,0.9916,0.931,True,0.931,0.0,0.7732,0.6103,0.709,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,2f31120a-78f3-5941-bdb0-10e521d54923 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,plastic | plastic,"[[""10"", ""23""], [""28"", ""33"", ""46""]]",0.6851,appearance compared successfully,True,4,0.0,0.0,0.7639,0.749,True,0.749,0.0,0.564,0.4077,0.9392,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,2f31120a-78f3-5941-bdb0-10e521d54923 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,plastic | plastic,"[[""10"", ""23""], [""35"", ""37""]]",0.6644,appearance compared successfully,False,0,,,0.9519,1.0594,True,1.0594,0.0,0.381,0.9524,0.9348,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,2f31120a-78f3-5941-bdb0-10e521d54923 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,"[[""10"", ""23""], [""38"", ""39""]]",0.6823,appearance compared successfully,False,0,,,0.5195,0.7574,True,0.7574,0.0,0.6101,0.412,0.3552,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,2f31120a-78f3-5941-bdb0-10e521d54923 | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,"[[""10"", ""23""], [""40""]]",0.6685,appearance compared successfully,False,0,,,0.731,1.0116,True,1.0116,0.0,0.6494,0.4554,0.8309,
separate,temporal overlap 10 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 0e73ec90-0d86-58d3-ae3b-15c0b901852a,plastic | cardboard,"[[""11""], [""12"", ""13""]]",0.6551,appearance compared successfully,True,10,0.0,0.0,0.4754,0.6121,True,0.6121,0.0,0.6326,0.8367,0.4307,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 16c70c74-caab-5a7f-af06-6b71a5a4855a,plastic | plastic,"[[""11""], [""22""]]",0.6678,appearance compared successfully,False,0,,,0.4455,0.3777,True,0.3777,0.0,0.1913,0.8288,0.889,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,plastic | cardboard,"[[""11""], [""26"", ""42""]]",0.6066,appearance compared successfully,False,0,,,0.3755,0.4687,True,0.4687,0.0,0.3968,0.8233,0.4397,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,plastic | plastic,"[[""11""], [""28"", ""33"", ""46""]]",0.6084,appearance compared successfully,False,0,,,0.1535,0.2839,True,0.2839,0.1814,0.5144,0.5501,0.8899,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,plastic | plastic,"[[""11""], [""35"", ""37""]]",0.6743,appearance compared successfully,False,0,,,0.4904,0.6669,True,0.6669,0.0,0.2035,0.7059,0.889,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,"[[""11""], [""38"", ""39""]]",0.6235,appearance compared successfully,False,0,,,0.1229,0.2875,True,0.2875,0.286,0.4868,0.5559,0.0803,
separate,temporal gap 95 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,"[[""11""], [""40""]]",0.6337,appearance compared successfully,False,0,,,0.1285,0.5484,True,0.5484,0.1413,0.3332,0.6144,0.5804,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 16c70c74-caab-5a7f-af06-6b71a5a4855a,cardboard | plastic,"[[""12"", ""13""], [""22""]]",0.6693,appearance compared successfully,False,0,,,0.177,0.2816,True,0.2816,0.0218,0.3024,0.9905,0.4017,
